@RELATION mediamill-test-exp1

@ATTRIBUTE Att1 NUMERIC
@ATTRIBUTE Att2 NUMERIC
@ATTRIBUTE Att3 NUMERIC
@ATTRIBUTE Att4 NUMERIC
@ATTRIBUTE Att5 NUMERIC
@ATTRIBUTE Att6 NUMERIC
@ATTRIBUTE Att7 NUMERIC
@ATTRIBUTE Att8 NUMERIC
@ATTRIBUTE Att9 NUMERIC
@ATTRIBUTE Att10 NUMERIC
@ATTRIBUTE Att11 NUMERIC
@ATTRIBUTE Att12 NUMERIC
@ATTRIBUTE Att13 NUMERIC
@ATTRIBUTE Att14 NUMERIC
@ATTRIBUTE Att15 NUMERIC
@ATTRIBUTE Att16 NUMERIC
@ATTRIBUTE Att17 NUMERIC
@ATTRIBUTE Att18 NUMERIC
@ATTRIBUTE Att19 NUMERIC
@ATTRIBUTE Att20 NUMERIC
@ATTRIBUTE Att21 NUMERIC
@ATTRIBUTE Att22 NUMERIC
@ATTRIBUTE Att23 NUMERIC
@ATTRIBUTE Att24 NUMERIC
@ATTRIBUTE Att25 NUMERIC
@ATTRIBUTE Att26 NUMERIC
@ATTRIBUTE Att27 NUMERIC
@ATTRIBUTE Att28 NUMERIC
@ATTRIBUTE Att29 NUMERIC
@ATTRIBUTE Att30 NUMERIC
@ATTRIBUTE Att31 NUMERIC
@ATTRIBUTE Att32 NUMERIC
@ATTRIBUTE Att33 NUMERIC
@ATTRIBUTE Att34 NUMERIC
@ATTRIBUTE Att35 NUMERIC
@ATTRIBUTE Att36 NUMERIC
@ATTRIBUTE Att37 NUMERIC
@ATTRIBUTE Att38 NUMERIC
@ATTRIBUTE Att39 NUMERIC
@ATTRIBUTE Att40 NUMERIC
@ATTRIBUTE Att41 NUMERIC
@ATTRIBUTE Att42 NUMERIC
@ATTRIBUTE Att43 NUMERIC
@ATTRIBUTE Att44 NUMERIC
@ATTRIBUTE Att45 NUMERIC
@ATTRIBUTE Att46 NUMERIC
@ATTRIBUTE Att47 NUMERIC
@ATTRIBUTE Att48 NUMERIC
@ATTRIBUTE Att49 NUMERIC
@ATTRIBUTE Att50 NUMERIC
@ATTRIBUTE Att51 NUMERIC
@ATTRIBUTE Att52 NUMERIC
@ATTRIBUTE Att53 NUMERIC
@ATTRIBUTE Att54 NUMERIC
@ATTRIBUTE Att55 NUMERIC
@ATTRIBUTE Att56 NUMERIC
@ATTRIBUTE Att57 NUMERIC
@ATTRIBUTE Att58 NUMERIC
@ATTRIBUTE Att59 NUMERIC
@ATTRIBUTE Att60 NUMERIC
@ATTRIBUTE Att61 NUMERIC
@ATTRIBUTE Att62 NUMERIC
@ATTRIBUTE Att63 NUMERIC
@ATTRIBUTE Att64 NUMERIC
@ATTRIBUTE Att65 NUMERIC
@ATTRIBUTE Att66 NUMERIC
@ATTRIBUTE Att67 NUMERIC
@ATTRIBUTE Att68 NUMERIC
@ATTRIBUTE Att69 NUMERIC
@ATTRIBUTE Att70 NUMERIC
@ATTRIBUTE Att71 NUMERIC
@ATTRIBUTE Att72 NUMERIC
@ATTRIBUTE Att73 NUMERIC
@ATTRIBUTE Att74 NUMERIC
@ATTRIBUTE Att75 NUMERIC
@ATTRIBUTE Att76 NUMERIC
@ATTRIBUTE Att77 NUMERIC
@ATTRIBUTE Att78 NUMERIC
@ATTRIBUTE Att79 NUMERIC
@ATTRIBUTE Att80 NUMERIC
@ATTRIBUTE Att81 NUMERIC
@ATTRIBUTE Att82 NUMERIC
@ATTRIBUTE Att83 NUMERIC
@ATTRIBUTE Att84 NUMERIC
@ATTRIBUTE Att85 NUMERIC
@ATTRIBUTE Att86 NUMERIC
@ATTRIBUTE Att87 NUMERIC
@ATTRIBUTE Att88 NUMERIC
@ATTRIBUTE Att89 NUMERIC
@ATTRIBUTE Att90 NUMERIC
@ATTRIBUTE Att91 NUMERIC
@ATTRIBUTE Att92 NUMERIC
@ATTRIBUTE Att93 NUMERIC
@ATTRIBUTE Att94 NUMERIC
@ATTRIBUTE Att95 NUMERIC
@ATTRIBUTE Att96 NUMERIC
@ATTRIBUTE Att97 NUMERIC
@ATTRIBUTE Att98 NUMERIC
@ATTRIBUTE Att99 NUMERIC
@ATTRIBUTE Att100 NUMERIC
@ATTRIBUTE Att101 NUMERIC
@ATTRIBUTE Att102 NUMERIC
@ATTRIBUTE Att103 NUMERIC
@ATTRIBUTE Att104 NUMERIC
@ATTRIBUTE Att105 NUMERIC
@ATTRIBUTE Att106 NUMERIC
@ATTRIBUTE Att107 NUMERIC
@ATTRIBUTE Att108 NUMERIC
@ATTRIBUTE Att109 NUMERIC
@ATTRIBUTE Att110 NUMERIC
@ATTRIBUTE Att111 NUMERIC
@ATTRIBUTE Att112 NUMERIC
@ATTRIBUTE Att113 NUMERIC
@ATTRIBUTE Att114 NUMERIC
@ATTRIBUTE Att115 NUMERIC
@ATTRIBUTE Att116 NUMERIC
@ATTRIBUTE Att117 NUMERIC
@ATTRIBUTE Att118 NUMERIC
@ATTRIBUTE Att119 NUMERIC
@ATTRIBUTE Att120 NUMERIC
@ATTRIBUTE Class1 {0, 1}
@ATTRIBUTE Class2 {0, 1}
@ATTRIBUTE Class3 {0, 1}
@ATTRIBUTE Class4 {0, 1}
@ATTRIBUTE Class5 {0, 1}
@ATTRIBUTE Class6 {0, 1}
@ATTRIBUTE Class7 {0, 1}
@ATTRIBUTE Class8 {0, 1}
@ATTRIBUTE Class9 {0, 1}
@ATTRIBUTE Class10 {0, 1}
@ATTRIBUTE Class11 {0, 1}
@ATTRIBUTE Class12 {0, 1}
@ATTRIBUTE Class13 {0, 1}
@ATTRIBUTE Class14 {0, 1}
@ATTRIBUTE Class15 {0, 1}
@ATTRIBUTE Class16 {0, 1}
@ATTRIBUTE Class17 {0, 1}
@ATTRIBUTE Class18 {0, 1}
@ATTRIBUTE Class19 {0, 1}
@ATTRIBUTE Class20 {0, 1}
@ATTRIBUTE Class21 {0, 1}
@ATTRIBUTE Class22 {0, 1}
@ATTRIBUTE Class23 {0, 1}
@ATTRIBUTE Class24 {0, 1}
@ATTRIBUTE Class25 {0, 1}
@ATTRIBUTE Class26 {0, 1}
@ATTRIBUTE Class27 {0, 1}
@ATTRIBUTE Class28 {0, 1}
@ATTRIBUTE Class29 {0, 1}
@ATTRIBUTE Class30 {0, 1}
@ATTRIBUTE Class31 {0, 1}
@ATTRIBUTE Class32 {0, 1}
@ATTRIBUTE Class33 {0, 1}
@ATTRIBUTE Class34 {0, 1}
@ATTRIBUTE Class35 {0, 1}
@ATTRIBUTE Class36 {0, 1}
@ATTRIBUTE Class37 {0, 1}
@ATTRIBUTE Class38 {0, 1}
@ATTRIBUTE Class39 {0, 1}
@ATTRIBUTE Class40 {0, 1}
@ATTRIBUTE Class41 {0, 1}
@ATTRIBUTE Class42 {0, 1}
@ATTRIBUTE Class43 {0, 1}
@ATTRIBUTE Class44 {0, 1}
@ATTRIBUTE Class45 {0, 1}
@ATTRIBUTE Class46 {0, 1}
@ATTRIBUTE Class47 {0, 1}
@ATTRIBUTE Class48 {0, 1}
@ATTRIBUTE Class49 {0, 1}
@ATTRIBUTE Class50 {0, 1}
@ATTRIBUTE Class51 {0, 1}
@ATTRIBUTE Class52 {0, 1}
@ATTRIBUTE Class53 {0, 1}
@ATTRIBUTE Class54 {0, 1}
@ATTRIBUTE Class55 {0, 1}
@ATTRIBUTE Class56 {0, 1}
@ATTRIBUTE Class57 {0, 1}
@ATTRIBUTE Class58 {0, 1}
@ATTRIBUTE Class59 {0, 1}
@ATTRIBUTE Class60 {0, 1}
@ATTRIBUTE Class61 {0, 1}
@ATTRIBUTE Class62 {0, 1}
@ATTRIBUTE Class63 {0, 1}
@ATTRIBUTE Class64 {0, 1}
@ATTRIBUTE Class65 {0, 1}
@ATTRIBUTE Class66 {0, 1}
@ATTRIBUTE Class67 {0, 1}
@ATTRIBUTE Class68 {0, 1}
@ATTRIBUTE Class69 {0, 1}
@ATTRIBUTE Class70 {0, 1}
@ATTRIBUTE Class71 {0, 1}
@ATTRIBUTE Class72 {0, 1}
@ATTRIBUTE Class73 {0, 1}
@ATTRIBUTE Class74 {0, 1}
@ATTRIBUTE Class75 {0, 1}
@ATTRIBUTE Class76 {0, 1}
@ATTRIBUTE Class77 {0, 1}
@ATTRIBUTE Class78 {0, 1}
@ATTRIBUTE Class79 {0, 1}
@ATTRIBUTE Class80 {0, 1}
@ATTRIBUTE Class81 {0, 1}
@ATTRIBUTE Class82 {0, 1}
@ATTRIBUTE Class83 {0, 1}
@ATTRIBUTE Class84 {0, 1}
@ATTRIBUTE Class85 {0, 1}
@ATTRIBUTE Class86 {0, 1}
@ATTRIBUTE Class87 {0, 1}
@ATTRIBUTE Class88 {0, 1}
@ATTRIBUTE Class89 {0, 1}
@ATTRIBUTE Class90 {0, 1}
@ATTRIBUTE Class91 {0, 1}
@ATTRIBUTE Class92 {0, 1}
@ATTRIBUTE Class93 {0, 1}
@ATTRIBUTE Class94 {0, 1}
@ATTRIBUTE Class95 {0, 1}
@ATTRIBUTE Class96 {0, 1}
@ATTRIBUTE Class97 {0, 1}
@ATTRIBUTE Class98 {0, 1}
@ATTRIBUTE Class99 {0, 1}
@ATTRIBUTE Class100 {0, 1}
@ATTRIBUTE Class101 {0, 1}

@DATA
0.416212,0.5459,0.544646,0.416221,0.181118,0.348473,0.365651,0.52905,0.297406,0.244362,0.046092,0.166335,0.127882,0.279061,0.166031,0.529185,0.663652,0.670079,0.548843,0.243884,0.456819,0.460466,0.657336,0.389474,0.334667,0.064955,0.226534,0.17923,0.368441,0.224388,0.40111,0.456572,0.403694,0.422535,0.22356,0.381036,0.354472,0.441914,0.316739,0.266157,0.065088,0.208721,0.168227,0.320413,0.207796,0.669939,0.708563,0.670327,0.684221,0.562594,0.63768,0.574976,0.709201,0.609145,0.600735,0.308787,0.553697,0.512588,0.607613,0.544979,0.387057,0.507908,0.55296,0.44905,0.152663,0.376776,0.312248,0.502379,0.284888,0.230683,0.049812,0.224571,0.100149,0.284362,0.146283,0.482624,0.607201,0.674926,0.567817,0.192623,0.478691,0.399434,0.630821,0.358489,0.305117,0.065486,0.280885,0.127659,0.361848,0.186446,0.378162,0.410609,0.409968,0.421068,0.193926,0.390097,0.316144,0.406526,0.307045,0.254903,0.07124,0.26932,0.137281,0.318344,0.185401,0.622969,0.65228,0.653509,0.66654,0.451342,0.629359,0.512817,0.639823,0.55065,0.518792,0.212818,0.54042,0.368924,0.580796,0.424688,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.456006,0.469121,0.485811,0.331541,0.218506,0.34721,0.312702,0.482937,0.338832,0.31944,0.073081,0.225267,0.187133,0.266225,0.212294,0.543747,0.579875,0.613288,0.435756,0.274842,0.436914,0.405038,0.633144,0.424963,0.403867,0.107128,0.289444,0.240992,0.333568,0.265744,0.397758,0.35897,0.321727,0.337754,0.299195,0.366479,0.288119,0.368057,0.349037,0.334772,0.14418,0.307198,0.270121,0.325882,0.291652,0.672663,0.638536,0.61762,0.64108,0.623633,0.670549,0.555784,0.703496,0.620648,0.640077,0.517192,0.635663,0.608363,0.638575,0.605157,0.407133,0.454645,0.525209,0.39175,0.175209,0.36793,0.277127,0.514007,0.28692,0.278355,0.063894,0.256514,0.129495,0.28402,0.172267,0.480077,0.537433,0.630283,0.478236,0.223679,0.443041,0.340832,0.616287,0.344578,0.350006,0.090846,0.31894,0.174561,0.343548,0.218984,0.372048,0.327973,0.3183,0.366132,0.269139,0.367147,0.27243,0.339824,0.321111,0.309084,0.128852,0.331212,0.219002,0.343012,0.259227,0.616896,0.565947,0.595718,0.639134,0.554134,0.646902,0.492927,0.632603,0.565531,0.57276,0.342982,0.589113,0.472939,0.619253,0.512884,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.464636,0.489732,0.485804,0.354008,0.21849,0.341364,0.321615,0.468966,0.33456,0.308022,0.073992,0.223501,0.180442,0.278824,0.2103,0.610311,0.634874,0.647,0.502373,0.319877,0.449562,0.432133,0.623568,0.448592,0.422359,0.122211,0.339067,0.280192,0.389701,0.306256,0.406189,0.385894,0.32878,0.366094,0.291421,0.362337,0.298788,0.366336,0.353266,0.321097,0.129512,0.294236,0.254529,0.334062,0.281918,0.705236,0.695392,0.589142,0.713225,0.6398,0.634477,0.568187,0.624766,0.68264,0.637819,0.410363,0.650004,0.608452,0.66404,0.627248,0.417279,0.479381,0.511406,0.403939,0.169356,0.356929,0.281655,0.485041,0.290993,0.27679,0.062742,0.256276,0.120192,0.287738,0.165872,0.543552,0.601137,0.630889,0.528644,0.256019,0.449992,0.356714,0.586628,0.392418,0.384699,0.09846,0.373339,0.187085,0.394012,0.244889,0.39027,0.356002,0.338611,0.380147,0.260388,0.362503,0.280342,0.344615,0.333389,0.306078,0.117201,0.336523,0.204309,0.347916,0.251068,0.643802,0.635753,0.59971,0.687525,0.548244,0.617433,0.522922,0.584699,0.592386,0.575569,0.32585,0.624095,0.487864,0.635194,0.540176,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.468857,0.485161,0.498888,0.321802,0.210839,0.332121,0.304571,0.462357,0.332399,0.30718,0.071643,0.214859,0.173269,0.264373,0.20408,0.578847,0.587438,0.599304,0.409794,0.284301,0.412014,0.372977,0.575935,0.42431,0.396672,0.103194,0.296093,0.244933,0.338331,0.276025,0.431157,0.410811,0.381376,0.343963,0.278431,0.3541,0.297746,0.398764,0.350568,0.321303,0.121453,0.280583,0.241308,0.315601,0.266652,0.705487,0.711579,0.699048,0.642595,0.619516,0.614241,0.559118,0.696977,0.634235,0.60892,0.44681,0.635961,0.597572,0.617693,0.584764,0.437898,0.505301,0.530798,0.431382,0.175413,0.378278,0.297553,0.497922,0.307062,0.286934,0.066528,0.261558,0.125291,0.304086,0.175208,0.532471,0.615795,0.625251,0.54183,0.22891,0.455238,0.36604,0.609114,0.379146,0.356334,0.089955,0.335584,0.160498,0.384686,0.222826,0.408878,0.380633,0.3681,0.407264,0.246341,0.375244,0.291885,0.372489,0.333641,0.30287,0.107919,0.323911,0.188868,0.348281,0.237801,0.660326,0.64216,0.644019,0.673511,0.561548,0.625919,0.514587,0.653285,0.59434,0.573434,0.337969,0.612064,0.496087,0.612824,0.531626,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.375576,0.299926,0.307128,0.223629,0.289131,0.278498,0.207191,0.295984,0.355346,0.358616,0.151166,0.316899,0.280599,0.260108,0.290189,0.522301,0.487519,0.593571,0.312048,0.467862,0.366095,0.303245,0.495919,0.531347,0.535827,0.31148,0.503926,0.473539,0.375018,0.473863,0.32146,0.259036,0.227239,0.230519,0.345713,0.27849,0.197831,0.245042,0.342993,0.341936,0.240199,0.358336,0.346337,0.29322,0.345632,0.660013,0.669288,0.62036,0.597635,0.692505,0.569584,0.521764,0.599764,0.693527,0.68222,0.625674,0.661068,0.695276,0.623741,0.698049,0.380284,0.318966,0.344046,0.277275,0.253893,0.293874,0.202346,0.346506,0.32225,0.333788,0.122185,0.326373,0.215738,0.294869,0.251713,0.520563,0.460424,0.540591,0.381607,0.423101,0.391186,0.285583,0.518087,0.462247,0.489717,0.242578,0.496742,0.377046,0.430638,0.418891,0.3183,0.251432,0.244081,0.247759,0.319317,0.269608,0.192603,0.252419,0.315012,0.313046,0.192981,0.34606,0.280753,0.310049,0.30937,0.631243,0.614878,0.629777,0.561164,0.619173,0.548458,0.4408,0.606651,0.606464,0.613913,0.465911,0.630563,0.576643,0.607644,0.613235,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.528461,0.542734,0.493177,0.407473,0.238303,0.387122,0.358369,0.493571,0.367198,0.331083,0.079894,0.234041,0.185087,0.323728,0.229693,0.623561,0.643289,0.571312,0.510492,0.300347,0.450671,0.428439,0.583477,0.441925,0.410947,0.108285,0.312506,0.24782,0.398735,0.290487,0.45172,0.422892,0.350215,0.402997,0.293442,0.394879,0.323648,0.393552,0.368229,0.329553,0.118976,0.290654,0.241723,0.362671,0.279851,0.715786,0.676842,0.593114,0.695726,0.60417,0.616146,0.567293,0.62948,0.644344,0.607769,0.502181,0.627629,0.578425,0.655834,0.583816,0.497783,0.504505,0.494918,0.468062,0.21391,0.418186,0.313341,0.483281,0.35157,0.327422,0.083383,0.316569,0.151335,0.36,0.211603,0.568427,0.579608,0.56073,0.562101,0.249804,0.476633,0.373597,0.542969,0.40267,0.380779,0.098503,0.366019,0.179404,0.417658,0.245631,0.427048,0.361647,0.330086,0.402393,0.273646,0.388868,0.28952,0.347459,0.357025,0.321309,0.123817,0.361839,0.209306,0.377408,0.263228,0.657108,0.5891,0.525471,0.668614,0.520051,0.605309,0.500076,0.550818,0.577751,0.548175,0.320022,0.611662,0.459312,0.624394,0.506956,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.331308,0.477697,0.538592,0.379772,0.128304,0.269912,0.349116,0.485683,0.215949,0.188503,0.032271,0.114456,0.087445,0.222037,0.117692,0.433018,0.593284,0.648158,0.48202,0.172947,0.342053,0.44883,0.580204,0.287538,0.249062,0.045542,0.156324,0.119153,0.292795,0.157215,0.338336,0.398926,0.378918,0.378901,0.191594,0.309084,0.338496,0.386527,0.25596,0.226954,0.066578,0.182595,0.148201,0.276526,0.177188,0.665626,0.69221,0.690089,0.654163,0.542158,0.580113,0.601346,0.648752,0.5722,0.571009,0.342426,0.591564,0.51835,0.597358,0.509523,0.293662,0.452563,0.512427,0.438243,0.105157,0.306799,0.314179,0.448178,0.200054,0.17553,0.033822,0.160689,0.067944,0.228115,0.100865,0.37055,0.53792,0.596943,0.529457,0.133524,0.373023,0.386312,0.521115,0.2517,0.218427,0.043505,0.207503,0.086801,0.287791,0.127109,0.307776,0.358722,0.34884,0.398438,0.160448,0.329311,0.315826,0.331555,0.249394,0.211014,0.064122,0.223743,0.11294,0.276921,0.153314,0.615946,0.660278,0.648698,0.674179,0.455085,0.575308,0.556381,0.583495,0.524891,0.503662,0.240055,0.585813,0.36878,0.584514,0.425227,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.458638,0.406918,0.380145,0.345431,0.273501,0.393841,0.299128,0.445218,0.356899,0.35526,0.097745,0.291012,0.241673,0.310377,0.261812,0.559511,0.505944,0.490549,0.440644,0.365276,0.493586,0.386119,0.589512,0.454648,0.459687,0.151134,0.404205,0.328988,0.395305,0.347376,0.385981,0.310611,0.270192,0.31479,0.34759,0.382009,0.265958,0.332678,0.35908,0.348642,0.168391,0.363755,0.321102,0.353011,0.336032,0.66025,0.582947,0.579961,0.595647,0.672065,0.663166,0.524677,0.676648,0.630018,0.652878,0.484181,0.696715,0.648519,0.644939,0.654762,0.416509,0.410253,0.455123,0.382122,0.203151,0.382834,0.268852,0.488666,0.299025,0.299251,0.078007,0.294233,0.158596,0.307589,0.199734,0.516885,0.500203,0.574861,0.471011,0.287901,0.474155,0.341587,0.600744,0.383855,0.396134,0.119334,0.397004,0.24263,0.399015,0.283165,0.381252,0.314549,0.308163,0.350093,0.284301,0.371873,0.259768,0.338875,0.327167,0.314803,0.134893,0.354929,0.231871,0.351944,0.272898,0.630728,0.563018,0.584898,0.61822,0.585985,0.643862,0.47898,0.621842,0.56898,0.577176,0.346347,0.62685,0.495254,0.617886,0.536235,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.497036,0.459603,0.442879,0.336477,0.256559,0.381089,0.306684,0.449963,0.372685,0.355776,0.089821,0.271201,0.22476,0.297257,0.250111,0.575094,0.524681,0.510611,0.414004,0.3232,0.463209,0.367526,0.549512,0.449083,0.428213,0.124981,0.349845,0.292442,0.36674,0.313526,0.441357,0.367043,0.318268,0.34417,0.32627,0.40036,0.288271,0.377638,0.377692,0.359726,0.135656,0.338514,0.29119,0.352911,0.314257,0.687368,0.623479,0.586359,0.596196,0.637997,0.647701,0.505341,0.669284,0.62827,0.63609,0.403466,0.676533,0.622299,0.621491,0.61357,0.435067,0.462383,0.492439,0.400952,0.192357,0.389989,0.285065,0.499311,0.304912,0.300476,0.073339,0.283367,0.144176,0.307603,0.190883,0.503226,0.520877,0.56788,0.468738,0.248652,0.462317,0.34173,0.580699,0.360315,0.360131,0.099098,0.349661,0.190584,0.370634,0.242025,0.393733,0.338351,0.331542,0.374558,0.266047,0.378981,0.277963,0.359539,0.326003,0.3095,0.120709,0.342277,0.212086,0.350707,0.256799,0.641543,0.579352,0.629212,0.634143,0.583415,0.63171,0.503663,0.635514,0.579378,0.58192,0.344319,0.619512,0.502724,0.625737,0.542486,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.445608,0.53705,0.531307,0.433597,0.202866,0.378588,0.379945,0.555505,0.317315,0.273866,0.053157,0.186152,0.148567,0.299436,0.188723,0.557829,0.645955,0.658024,0.543378,0.285751,0.488137,0.471577,0.681406,0.41482,0.368069,0.079431,0.266086,0.221073,0.390549,0.266616,0.418985,0.437764,0.395088,0.420507,0.258553,0.401425,0.357822,0.439035,0.341877,0.296889,0.080839,0.245393,0.205757,0.341104,0.244907,0.697731,0.713614,0.676112,0.709391,0.548989,0.666683,0.589034,0.709639,0.615972,0.565121,0.225978,0.557693,0.493988,0.626389,0.523456,0.398868,0.517471,0.581905,0.472908,0.153929,0.390947,0.322557,0.538088,0.282497,0.243341,0.049706,0.228089,0.101643,0.291161,0.14878,0.474201,0.600969,0.678008,0.550835,0.188833,0.461155,0.38103,0.620207,0.338325,0.301994,0.063357,0.279174,0.12701,0.351487,0.184825,0.388973,0.403042,0.403645,0.428132,0.21381,0.394794,0.316142,0.402047,0.317148,0.272527,0.081271,0.290237,0.154376,0.333169,0.205641,0.651347,0.665209,0.660881,0.681298,0.472295,0.628184,0.530409,0.648789,0.559016,0.524494,0.211964,0.589851,0.365561,0.601529,0.440776,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
